STNNO,STNNAME,LAT,LONG,ELEV,Elev (m),Start,End
1,Fresno/F.S.U. USDA,36.814444,-119.731667,340,102.816,6/7/1982,9/25/1988
2,Five Points,36.336222,-120.112906,285,86.184,6/7/1982,
3,Beach /Santa Cruz CO,36.880556,-121.793333,10,3.024,5/30/1982,8/25/1986
4,Webb /Santa Cruz CO,36.9725,-121.726111,230,69.552,5/30/1982,4/29/1988
5,Shafter/USDA,35.532556,-119.281794,360,108.864,6/1/1982,
6,Davis,38.535694,-121.776361,60,18.144,7/17/1982,
7,Firebaugh,36.851222,-120.590922,185,55.944,9/22/1982,
8,Gerber,40.044053,-122.165514,250,75.6,9/22/1982,
9,Lamont,35.238056,-118.894444,406,122.7744,9/29/1982,4/10/1989
10,Bakersfield/Greenlee,35.077083,-119.082133,400,120.96,10/1/1982,4/16/1986
11,Bakersfield/Bonanza,35.160556,-119.180833,290,87.696,9/29/1982,4/17/1986
12,Durham,39.608639,-121.824431,130,39.312,10/19/1982,
13,Camino,38.753136,-120.733603,2780,840.672,10/19/1982,
14,Orland (inactive),39.739444,-122.171389,235,71.064,10/30/1982,4/21/1987
15,Stratford,36.157972,-119.851425,193,58.3632,10/29/1982,
16,San Juan,36.904722,-121.703056,44,13.3056,10/23/1982,8/24/1995
17,El Centro,32.846389,-115.448333,-86,-26.0064,11/8/1982,5/27/1987
18,Westmorland,33.0775,-115.613889,-195,-58.968,11/11/1982,4/9/1986
19,Castroville,36.768167,-121.773636,9,2.7216,11/18/1982,
20,Corcoran,36.040278,-119.572778,190,57.456,11/22/1982,4/9/1986
21,Kettleman,35.86775,-119.8949,340,102.816,11/19/1982,
22,Caruthers,36.490278,-119.779167,238,71.9712,11/18/1982,6/6/1988
23,King City,36.174444,-121.117222,300,90.72,11/19/1982,12/23/1985
24,Thermal (inactive),33.631111,-116.111944,-120,-36.288,11/22/1982,3/3/1986
25,Rancho Mirage,33.764444,-116.423889,240,72.576,11/22/1982,11/20/1985
26,Lost Hills,35.505278,-119.689722,410,123.984,11/29/1982,8/13/1986
27,Zamora,38.808758,-121.907544,50,15.12,12/5/1982,1/20/2006
