station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,4.093712,3.93139,3.980103,4.196317,4.245427,4.382805,3.95022,3.957682,3.856699,4.586874,3.560498,3.532687
2,4.173835,4.027219,3.952235,4.207431,4.176068,4.283647,3.89948,3.850744,3.769403,4.393312,3.420443,3.65494
3,3.653594,3.504419,3.502148,3.653649,3.758778,3.854101,3.704128,3.604882,3.554062,3.658626,3.149841,3.200197
4,3.643155,3.539443,3.487462,3.594264,3.836382,3.782569,3.742709,3.64398,3.585849,3.693923,3.137388,3.192772
5,3.586481,3.492275,3.844246,4.138766,3.98959,4.091538,3.946778,3.89737,3.740062,4.087265,3.338763,3.192773
6,3.249636,3.250191,3.15,3.449428,3.747089,3.702602,3.748386,3.702897,3.596799,3.398012,3.147853,2.904412
7,4.152404,3.965352,3.924819,4.22039,4.247227,4.24693,3.968086,3.921013,3.80651,4.548941,3.431632,3.553307
8,3.197324,3.203576,2.976616,3.326857,3.879024,3.826463,3.720092,3.729196,3.427759,3.303814,3.010354,2.92721
9,3.167694,3.106803,3.652375,4.010411,3.817165,4.015607,3.930089,4.007337,3.724781,3.885156,3.194746,2.815604
10,2.718437,2.850965,3.20892,3.527537,3.417971,3.292997,3.300501,3.241618,3.026824,3.176899,2.8415,2.624449
11,3.035431,3.018509,3.532771,3.848173,3.704285,3.750432,3.721868,3.710863,3.408292,3.556516,3.091496,2.807594
12,3.198558,3.145193,2.976466,3.357281,3.850241,3.746454,3.773348,3.721796,3.471437,3.340034,3.028034,2.9
13,3.424865,3.468523,3.229972,3.55956,3.873294,3.870428,3.684578,3.731589,3.47997,3.760658,3.105299,3.187388
14,3.198537,3.200032,3.012426,3.394601,3.93364,3.868538,3.782262,3.746043,3.542632,3.393815,3.048527,2.953543
15,4.184319,4.022592,4.073796,4.181379,4.182639,4.313055,3.848693,3.870725,3.801859,4.448553,3.47455,3.615562
16,3.65627,3.558707,3.544757,3.64148,3.872814,3.813396,3.75717,3.670373,3.607983,3.75057,3.156334,3.204652
17,2.893039,3.064517,3.645339,4.075658,4.194308,3.861766,3.917874,4.183105,3.743354,3.643575,3.242411,2.750019
18,2.898801,3.051893,3.699387,4.183947,4.251916,3.871661,3.974545,4.150352,3.800582,3.703664,3.204122,2.696504
19,3.601344,3.501369,3.551743,3.602776,3.759129,3.697365,3.648234,3.540314,3.499023,3.605518,3.098188,3.199243
20,4.060629,3.912226,4.049554,4.194763,4.147587,4.291952,3.872287,3.947474,3.796499,4.345033,3.397051,3.604708
21,4.195446,3.997422,4.212189,4.147695,4.151015,4.329701,3.91755,3.961311,3.767614,4.395072,3.380677,3.553528
22,4.150075,4.031034,4.029337,4.201039,4.25446,4.354424,3.923194,3.951043,3.803806,4.44439,3.499432,3.596719
23,3.726957,3.661048,3.704717,3.882719,3.929494,3.861385,3.71319,3.635825,3.511015,3.90858,3.232553,3.29866
24,3.144376,3.400574,3.933329,4.43716,4.42546,4.282442,4.363709,4.729272,4.131364,3.991223,3.567906,2.909302
25,3.011696,3.176262,3.669781,4.160204,4.057377,3.944761,4.071731,4.38951,3.780483,3.731483,3.255184,2.915071
26,3.134938,3.244671,3.523967,3.811837,3.75285,3.705489,3.508303,3.543375,3.244432,3.572158,3.046811,2.976288
27,3.24854,3.249915,3.149975,3.396449,3.8043,3.75212,3.751622,3.752417,3.6045,3.452079,3.147335,2.951892
28,3.893408,3.79175,3.743451,3.901194,3.998095,3.852469,3.749579,3.653072,3.54569,3.945808,3.200786,3.442582
29,3.97312,3.832933,3.886667,4.102202,4.121686,4.156442,3.785895,3.790536,3.646959,4.346059,3.344951,3.440144
30,3.2,3.250055,3.100013,3.450089,3.851098,3.845618,3.800004,3.799984,3.600086,3.552232,3.1,2.95
31,3.660594,3.560294,3.858059,4.10897,4.052685,4.156127,3.953389,3.963163,3.751931,4.217568,3.354633,3.21618
32,3.246778,3.233261,3.094079,3.398125,3.898708,3.748957,3.8,3.746241,3.55,3.539672,3.1,2.943731
33,4.145536,3.94228,4.002944,4.305698,4.215848,4.454654,4.057357,4.091838,3.953204,4.576608,3.49334,3.498377
34,2.968541,3.149385,3.664042,4.250733,4.036603,3.995268,4.091573,4.329266,3.935292,3.839093,3.186237,2.774288
